gen,game,history,rewards
6,1,"[2551, 8031, 3223, 8031, 8031, 4, 11, 8031, 8031, 5, 11, 8031, 3, 8031, 8031, 2, 8, 2, 8, 2, 8031, 0, 4, 8031, 8031, 8031, 2, 8031, 8031, 0]","[ 26.  -6.  -7. -13.]"
6,2,"[0, 8031, 8031, 0, 6, 5, 7, 7, 7, 7, 7, 8, 292, 8031, 0, 8031, 8031, 3, 1, 5, 1, 8031, 0]","[ -6.  32. -13. -13.]"
6,3,"[0, 8031, 5, 7, 8031, 7, 10, 10, 10, 8031, 3, 8031, 8031, 5, 6, 7, 8031, 5, 6, 8031, 8031, 5, 8031, 3, 3, 8031, 8031, 3, 3, 3, 8031, 1, 3, 8031, 8031, 8031, 0, 8031, 8031, 0, 0, 0]","[ 27.  -2. -12. -13.]"
6,4,"[13, 13, 8031, 8031, 17, 19, 31, 25, 8031, 0, 8031, 8031, 1, 1, 3, 1, 4, 8031, 0, 0, 8031, 8031, 0, 0, 8031, 0, 8031, 8031, 8031, 0]","[ -2.  28. -13. -13.]"
7,1,"[0, 0, 8031, 8031, 4, 5, 7, 6, 8, 8, 8031, 0, 8031, 8031, 3, 1, 4, 2, 5, 5, 8031, 0, 8031, 8031, 3, 1, 3, 1, 3, 8031, 1, 0, 8031, 8031, 8031, 0]","[ -2.  28. -13. -13.]"
7,2,"[0, 0, 8031, 8031, 0, 1, 5, 6, 5, 6, 7, 8031, 3, 1, 8031, 8031, 4, 5, 5, 8031, 1, 1, 8031, 8031, 3, 4, 8031, 0, 8031, 8031, 1, 0, 1, 2, 8031, 0, 8031, 8031, 8031, 0]","[ -1.  27. -13. -13.]"
7,3,"[46, 8031, 46, 282, 8031, 8031, 0, 8031, 8031, 4, 3, 6, 4, 7, 5, 8031, 0, 8031, 8031, 4, 3, 8031, 0, 8031, 8031, 4, 2, 8031, 0, 8031, 8031, 4, 8031, 2, 0]","[ -3.  26. -10. -13.]"
7,4,"[0, 2, 8031, 8031, 4, 5, 7, 8, 9, 9, 8031, 1, 8031, 8031, 2, 3, 6, 6, 8031, 1, 8031, 8031, 3, 2, 4, 8031, 2, 2, 8031, 8031, 3, 8031, 0, 1, 8031, 8031, 1, 1, 8031, 0]","[ -1.  27. -13. -13.]"
8,1,"[0, 8031, 8031, 1, 1, 1, 2, 6, 2, 7, 3, 8031, 0, 8031, 8031, 3, 1, 6, 1, 8031, 0, 8031, 8031, 5, 0, 8031, 0, 8031, 8031, 8031, 0, 8031, 8031, 8031, 0]","[ -6.  32. -13. -13.]"
8,2,"[0, 2, 8031, 8031, 7, 5, 9, 8031, 5, 3, 8031, 8031, 7, 9, 7, 8031, 1, 1, 8031, 8031, 3, 2, 4, 4, 8031, 1, 8031, 8031, 3, 1, 8031, 0, 8031, 8031, 2, 0, 8031, 0, 8031, 8031, 8031, 0]","[ -2.  28. -13. -13.]"
